"id"	"subject"	"difficulty"	"question"	"answer"	"split"
"Q-000001"	"Biology"	"1"	"Is photosynthesis how plants make their own food?"	"Yes"	"train"
"Q-000002"	"Biology"	"1"	"Are humans classified as mammals?"	"Yes"	"train"
"Q-000003"	"Biology"	"1"	"Do all living organisms require water to survive?"	"Yes"	"dev"
"Q-000004"	"Biology"	"1"	"Do insects have a total of six legs?"	"Yes"	"train"
"Q-000005"	"Biology"	"1"	"Is DNA the primary genetic material for most life?"	"Yes"	"train"
"Q-000006"	"Biology"	"1"	"Are all species of mushrooms edible for humans?"	"No"	"train"
"Q-000007"	"Biology"	"1"	"Do fish use lungs to breathe underwater?"	"No"	"train"
"Q-000008"	"Biology"	"1"	"Is the stomach a part of the respiratory system?"	"No"	"train"
"Q-000009"	"Biology"	"1"	"Are spiders classified as insects?"	"No"	"dev"
"Q-000010"	"Biology"	"1"	"Do plants absorb carbon dioxide during respiration at night?"	"No"	"train"
"Q-000011"	"Biology"	"1"	"Is the exact number of species on Earth currently known?"	"No"	"train"
"Q-000012"	"Biology"	"1"	"Do all animals perceive colors in the same way?"	"No"	"train"
"Q-000013"	"Biology"	"1"	"Is the origin of life on Earth fully understood?"	"No"	"dev"
"Q-000014"	"Biology"	"1"	"Can any animal truly understand human language?"	"Unanswerable"	"train"
"Q-000015"	"Biology"	"1"	"Is the brain's full storage capacity measurable?"	"No"	"train"
"Q-000016"	"Biology"	"2"	"Is chlorophyll the primary pigment for photosynthesis in green plants?"	"Yes"	"train"
"Q-000017"	"Biology"	"2"	"Are mitochondria primarily responsible for cellular energy production?"	"Yes"	"train"
"Q-000018"	"Biology"	"2"	"Is the femur the longest bone in the human body?"	"Yes"	"dev"
"Q-000019"	"Biology"	"2"	"In cladistics, are birds considered a group of reptiles?"	"Yes"	"train"
"Q-000020"	"Biology"	"2"	"Do red blood cells transport oxygen throughout the body?"	"Yes"	"train"
"Q-000021"	"Biology"	"2"	"Do prokaryotic cells contain a membrane-bound nucleus?"	"No"	"dev"
"Q-000022"	"Biology"	"2"	"Are whales a type of fish?"	"No"	"train"
"Q-000023"	"Biology"	"2"	"Are amphibians warm-blooded animals?"	"No"	"train"
"Q-000024"	"Biology"	"2"	"Is cholesterol a type of protein?"	"No"	"train"
"Q-000025"	"Biology"	"2"	"Does the large intestine absorb most nutrients from food?"	"No"	"train"
"Q-000026"	"Biology"	"2"	"Is there a single universally accepted definition of life?"	"No"	"dev"
"Q-000027"	"Biology"	"2"	"Is it possible to clone an extinct species from ancient DNA?"	"Unanswerable"	"train"
"Q-000028"	"Biology"	"2"	"Will the human species stop evolving in the future?"	"Unanswerable"	"train"
"Q-000029"	"Biology"	"2"	"Was the extinction of the dodo bird caused by a single factor?"	"No"	"train"
"Q-000030"	"Biology"	"2"	"Is the mechanism of aging controlled by a single gene?"	"No"	"train"
"Q-000031"	"Biology"	"3"	"Is tryptophan an essential amino acid in humans?"	"Yes"	"dev"
"Q-000032"	"Biology"	"3"	"Are ribosomes the site of protein synthesis within a cell?"	"Yes"	"train"
"Q-000033"	"Biology"	"3"	"Does the process of meiosis result in four haploid cells?"	"Yes"	"train"
"Q-000034"	"Biology"	"3"	"Is ATP the principal molecule for storing and transferring energy in cells?"	"Yes"	"train"
"Q-000035"	"Biology"	"3"	"Is the scientific name for modern humans Homo sapiens?"	"Yes"	"train"
"Q-000036"	"Biology"	"3"	"Are viruses considered living organisms by all biologists?"	"No"	"train"
"Q-000037"	"Biology"	"3"	"Do arteries exclusively carry deoxygenated blood?"	"No"	"train"
"Q-000038"	"Biology"	"3"	"Is Lamarck's theory of inheritance of acquired characteristics widely accepted today?"	"No"	"dev"
"Q-000039"	"Biology"	"3"	"Are prokaryotic cells typically larger than eukaryotic cells?"	"No"	"train"
"Q-000040"	"Biology"	"3"	"Is the Golgi apparatus responsible for DNA replication?"	"No"	"train"
"Q-000041"	"Biology"	"3"	"Is the full function of ""junk DNA"" completely understood?"	"No"	"train"
"Q-000042"	"Biology"	"3"	"Is the RNA world hypothesis a proven fact?"	"No"	"train"
"Q-000043"	"Biology"	"3"	"Is consciousness a phenomenon exclusive to the brain?"	"Unanswerable"	"dev"
"Q-000044"	"Biology"	"3"	"Does every gene in the human genome have a known function?"	"No"	"train"
"Q-000045"	"Biology"	"3"	"Can the Cambrian explosion be explained by a single cause?"	"No"	"train"
"Q-000046"	"Biology"	"4"	"Is CRISPR-Cas9 a technology used for gene editing?"	"Yes"	"train"
"Q-000047"	"Biology"	"4"	"Does chemiosmosis involve the movement of ions across a semipermeable membrane?"	"Yes"	"train"
"Q-000048"	"Biology"	"4"	"Is allopatric speciation caused by geographic isolation?"	"Yes"	"train"
"Q-000049"	"Biology"	"4"	"Are telomeres the protective caps at the ends of eukaryotic chromosomes?"	"Yes"	"dev"
"Q-000050"	"Biology"	"4"	"Is lateral gene transfer a common process in prokaryotes?"	"Yes"	"train"
"Q-000051"	"Biology"	"4"	"Is the Hardy-Weinberg equilibrium commonly found in natural populations?"	"No"	"train"
"Q-000052"	"Biology"	"4"	"Does the ""one gene, one enzyme"" hypothesis apply to all genes?"	"No"	"dev"
"Q-000053"	"Biology"	"4"	"Is the human genome composed mostly of protein-coding genes?"	"No"	"train"
"Q-000054"	"Biology"	"4"	"Are prions a type of virus?"	"No"	"train"
"Q-000055"	"Biology"	"4"	"Is facilitated diffusion considered an active transport process?"	"No"	"train"
"Q-000056"	"Biology"	"4"	"Is the maximum possible human lifespan more than 150 years?"	"Unanswerable"	"train"
"Q-000057"	"Biology"	"4"	"Is the vertebrate brain's complete wiring diagram (connectome) mapped?"	"No"	"dev"
"Q-000058"	"Biology"	"4"	"Does a universal mechanism for epigenetic inheritance exist?"	"Unanswerable"	"train"
"Q-000059"	"Biology"	"4"	"Is the protein folding problem considered completely solved?"	"No"	"train"
"Q-000060"	"Biology"	"4"	"Is there a scientific consensus on the precise evolutionary advantage of sex?"	"No"	"train"
"Q-000061"	"Biology"	"5"	"Is alternative splicing a mechanism for generating protein diversity from a single gene?"	"Yes"	"train"
"Q-000062"	"Biology"	"5"	"Are Hox genes critical for regulating anatomical development in animals?"	"Yes"	"train"
"Q-000063"	"Biology"	"5"	"Does the sodium-potassium pump require ATP to transport ions?"	"Yes"	"train"
"Q-000064"	"Biology"	"5"	"Is endosymbiotic theory the accepted explanation for the origin of mitochondria?"	"Yes"	"train"
"Q-000065"	"Biology"	"5"	"Are microRNAs non-coding RNAs that regulate gene expression?"	"Yes"	"dev"
"Q-000066"	"Biology"	"5"	"Is the genetic code identical across all known living organisms?"	"No"	"train"
"Q-000067"	"Biology"	"5"	"Are chaperone proteins responsible for denaturing other proteins?"	"No"	"train"
"Q-000068"	"Biology"	"5"	"Is the Krebs cycle an anaerobic process?"	"No"	"train"
"Q-000069"	"Biology"	"5"	"Is a G-protein coupled receptor a type of ion channel?"	"No"	"dev"
"Q-000070"	"Biology"	"5"	"Do retrotransposons primarily move via a 'cut and paste' mechanism?"	"No"	"train"
"Q-000071"	"Biology"	"5"	"Is the composition of the human microbiome stable throughout life?"	"No"	"train"
"Q-000072"	"Biology"	"5"	"Can somatic cell fate be reversed with perfect efficiency?"	"Unanswerable"	"train"
"Q-000073"	"Biology"	"5"	"Is the origin of homochirality in biological molecules fully understood?"	"No"	"dev"
"Q-000074"	"Biology"	"5"	"Can a complex organism be generated from synthetic DNA alone?"	"Unanswerable"	"train"
"Q-000075"	"Biology"	"5"	"Is there a single, universally applicable theory of aging?"	"No"	"train"
"Q-000076"	"Chemistry"	"1"	"Is water a liquid at standard room temperature?"	"Yes"	"train"
"Q-000077"	"Chemistry"	"1"	"Is oxygen a gas at standard temperature and pressure?"	"Yes"	"train"
"Q-000078"	"Chemistry"	"1"	"Is H2O the chemical formula for water?"	"Yes"	"dev"
"Q-000079"	"Chemistry"	"1"	"Is table salt (NaCl) soluble in water?"	"Yes"	"train"
"Q-000080"	"Chemistry"	"1"	"Is a proton a positively charged subatomic particle?"	"Yes"	"train"
"Q-000081"	"Chemistry"	"1"	"Is gold a liquid at room temperature?"	"No"	"dev"
"Q-000082"	"Chemistry"	"1"	"Does freezing water turn it into a gas?"	"No"	"train"
"Q-000083"	"Chemistry"	"1"	"Is rust chemically identical to pure iron?"	"No"	"train"
"Q-000084"	"Chemistry"	"1"	"Is helium gas heavier than air?"	"No"	"train"
"Q-000085"	"Chemistry"	"1"	"Is wood a chemical element?"	"No"	"train"
"Q-000086"	"Chemistry"	"1"	"Is the scent of coffee a single chemical compound?"	"No"	"dev"
"Q-000087"	"Chemistry"	"1"	"Is there a universal solvent that can dissolve any substance?"	"No"	"train"
"Q-000088"	"Chemistry"	"1"	"Can a chemical bond be seen with the naked eye?"	"No"	"train"
"Q-000089"	"Chemistry"	"1"	"Is there a theoretical limit to the number of possible chemical compounds?"	"No"	"train"
"Q-000090"	"Chemistry"	"1"	"Is the taste of water a chemical property?"	"No"	"train"
"Q-000091"	"Chemistry"	"2"	"Is pH a measure of acidity or alkalinity?"	"Yes"	"dev"
"Q-000092"	"Chemistry"	"2"	"Does a catalyst increase the rate of a chemical reaction?"	"Yes"	"train"
"Q-000093"	"Chemistry"	"2"	"Is CO2 the chemical formula for carbon dioxide?"	"Yes"	"train"
"Q-000094"	"Chemistry"	"2"	"Is methane (CH4) a hydrocarbon?"	"Yes"	"train"
"Q-000095"	"Chemistry"	"2"	"Does an electron have a negative electrical charge?"	"Yes"	"train"
"Q-000096"	"Chemistry"	"2"	"Is tungsten a member of the noble gases?"	"No"	"train"
"Q-000097"	"Chemistry"	"2"	"Is pure water a nonpolar molecule?"	"No"	"train"
"Q-000098"	"Chemistry"	"2"	"Is sodium chloride (NaCl) an element?"	"No"	"dev"
"Q-000099"	"Chemistry"	"2"	"Is an atom's nucleus positively charged?"	"Yes"	"train"
"Q-000100"	"Chemistry"	"2"	"Is alcohol classified as a type of sugar?"	"No"	"train"
"Q-000101"	"Chemistry"	"2"	"Can cold fusion be reliably and sustainably produced in a laboratory?"	"Unanswerable"	"dev"
"Q-000102"	"Chemistry"	"2"	"Is the exact three-dimensional shape of an electron orbital physically observable?"	"No"	"train"
"Q-000103"	"Chemistry"	"2"	"Is there a sharp, definitive boundary between metals and nonmetals?"	"No"	"train"
"Q-000104"	"Chemistry"	"2"	"Is the structure of glass identical to a crystal?"	"No"	"train"
"Q-000105"	"Chemistry"	"2"	"Can a single water molecule have a pH value?"	"Unanswerable"	"train"
"Q-000106"	"Chemistry"	"3"	"Are isotopes atoms of the same element with different numbers of neutrons?"	"Yes"	"train"
"Q-000107"	"Chemistry"	"3"	"Is a covalent bond formed by the sharing of electrons between atoms?"	"Yes"	"train"
"Q-000108"	"Chemistry"	"3"	"Is Avogadro's number the number of particles in one mole of a substance?"	"Yes"	"dev"
"Q-000109"	"Chemistry"	"3"	"Does the process of oxidation involve the loss of electrons?"	"Yes"	"train"
"Q-000110"	"Chemistry"	"3"	"Is an exothermic reaction a reaction that releases heat?"	"Yes"	"train"
"Q-000111"	"Chemistry"	"3"	"Is gold the most reactive metal on the periodic table?"	"No"	"dev"
"Q-000112"	"Chemistry"	"3"	"Under the Brønsted-Lowry definition, is an acid a proton acceptor?"	"No"	"train"
"Q-000113"	"Chemistry"	"3"	"Is mercury a solid at standard room temperature?"	"No"	"train"
"Q-000114"	"Chemistry"	"3"	"Is an endothermic reaction one that releases heat?"	"No"	"train"
"Q-000115"	"Chemistry"	"3"	"Is an alkene a saturated hydrocarbon?"	"No"	"train"
"Q-000116"	"Chemistry"	"3"	"Is the three-body problem in quantum chemistry generally solvable?"	"No"	"train"
"Q-000117"	"Chemistry"	"3"	"Is consciousness a phenomenon exclusive to the human brain?"	"Unanswerable"	"dev"
"Q-000118"	"Chemistry"	"3"	"Is there a maximum theoretical size for a single molecule?"	"Unanswerable"	"train"
"Q-000119"	"Chemistry"	"3"	"Can matter be created from pure energy in a standard laboratory?"	"Yes"	"train"
"Q-000120"	"Chemistry"	"3"	"Is the structure of liquid water completely understood?"	"No"	"train"
"Q-000121"	"Chemistry"	"4"	"Is a chiral molecule non-superimposable on its mirror image?"	"Yes"	"dev"
"Q-000122"	"Chemistry"	"4"	"Under the Lewis definition, is an acid an electron pair acceptor?"	"Yes"	"train"
"Q-000123"	"Chemistry"	"4"	"Does the Pauli exclusion principle apply to fermions?"	"Yes"	"train"
"Q-000124"	"Chemistry"	"4"	"Is entropy a measure of the disorder or randomness in a system?"	"Yes"	"train"
"Q-000125"	"Chemistry"	"4"	"Is a buffer solution resistant to changes in pH?"	"Yes"	"train"
"Q-000126"	"Chemistry"	"4"	"Is chemical resonance a form of isomerism?"	"No"	"train"
"Q-000127"	"Chemistry"	"4"	"In organic chemistry, is a pi bond stronger than a sigma bond?"	"No"	"train"
"Q-000128"	"Chemistry"	"4"	"Is an aromatic compound always a cyclic molecule?"	"Yes"	"dev"
"Q-000129"	"Chemistry"	"4"	"Does the ideal gas law perfectly describe the behavior of all real gases?"	"No"	"train"
"Q-000130"	"Chemistry"	"4"	"Is quantum tunneling a phenomenon predicted by classical mechanics?"	"No"	"train"
"Q-000131"	"Chemistry"	"4"	"Is the mechanism of high-temperature superconductivity fully understood?"	"No"	"dev"
"Q-000132"	"Chemistry"	"4"	"Can a chemical reaction have a negative activation energy?"	"Yes"	"train"
